Component,Quantity,Reference Designator,Customer Reference,Value,Quantity Per PCB,Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Footprint,Description,Datasheet,Part,Mouser Part Number,Build Quantity,References,UserGuide
1, 3, BZ1, BZ1,Speaker,1,445-2526-1-ND,TDK Corporation,PS1420P02CT,PS1420P02CT,"Buzzer, polarized",https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf,Buzzer,810-PS1420P02CT,3,BZ1,
2, 6, C15 C16, C15 C16,22pF,2,BC1005CT-ND,Vishay Beyschlag/Draloric/BC Components,K220J15C0GF5TL2,C_Disc_D3.8mm_W2.6mm_P2.50mm,Unpolarized capacitor,https://www.vishay.com/docs/45171/kseries.pdf,C,594-K220J15C0GF5TL2,6,C15 C16,
3, 3, C25, C25,100pF,1,BC1013CT-ND,Vishay Beyschlag/Draloric/BC Components,K101J15C0GF5TL2,C_Disc_D3.8mm_W2.6mm_P2.50mm,Unpolarized capacitor,https://www.vishay.com/docs/45171/kseries.pdf,C,594-K101J15C0GF5TL2,3,C25,
4, 3, C23, C23,10nF,1,445-173474-1-ND,TDK Corporation,FG28C0G1H103JNT06,C_Disc_D4.7mm_W2.5mm_P5.00mm,Unpolarized capacitor,https://product.tdk.com/info/en/catalog/datasheets/leadmlcc_halogenfree_fg_en.pdf,C,810-FG28C0G1H103JNT6,3,C23,
5, 33, C1 C2 C3 C4 C9 C13 C14 C17 C21 C22 C26, C1 C2 C3 C4 C9 C13 C14 C17 C21 C22 C26,0.1uF,11,399-13932-ND,KEMET,C322C104J5R5TA,C_Disc_D5.1mm_W3.2mm_P5.00mm,Unpolarized capacitor,https://content.kemet.com/datasheets/KEM_C1050_GOLDMAX_X7R.pdf,C,80-C322C104J5R,33,C1 C2 C3 C4 C9 C13 C14 C17 C21 C22 C26,
6, 3, C24, C24,1uF,1,399-13901-ND,KEMET,C330C105J5R5TA,C_Disc_D7.5mm_W4.4mm_P5.00mm,Unpolarized capacitor,https://product.tdk.com/info/en/catalog/datasheets/leadmlcc_halogenfree_fg_en.pdf,C,80-C330C105J5R,3,C24,
7, 9, C5 C6 C7, C5 C6 C7,220uF,3,P16296-ND,Panasonic Electronic Components,16SEPC220MD,CP_Radial_D8.0mm_P3.50mm,"Polarized capacitor, US symbol",https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C247.pdf,CP1,667-16SEPC220MD,9,C5 C6 C7,
8, 33, D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11, D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11,1N5817,11,497-4547-1-ND,STMicroelectronics,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,"20V 1A Schottky Barrier Rectifier Diode, DO-41",https://www.st.com/content/ccc/resource/technical/document/datasheet/26/db/14/60/52/47/47/5b/CD00001625.pdf/files/CD00001625.pdf/jcr:content/translations/en.CD00001625.pdf,1N5817,511-1N5817,33,D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11,
9, 3, DS1, DS1,NHD-0420CW-SPI,1,NHD-0420CW-AB3-ND,Newhaven Display Intl,NHD-0420CW-AB3,NHD_NHD-0420CW-AG3,"20x4 Character LCD Display Module Passive 5 x 8 Dots OLED Parallel, 8-Bit, I²C, SPI",https://www.newhavendisplay.com/specs/NHD-0420CW-AB3.pdf,NHD-0420CW-SPI,763-NHD-0420CW-AB3,3,DS1,https://www.newhavendisplay.com/app_notes/US2066.pdf
10, 6, FB1 FB2, FB1 FB2,Ferrite_Bead,2,240-2493-ND,Laird-Signal Integrity Products,28C0236-0JW-10,LairdTech_28C0236-0JW-10,Ferrite bead,https://media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/Part%20Number%20Guide.pdf,Ferrite_Bead,875-28C0236-0JW-10,6,FB1 FB2,
11, 3, J2, J2,ISP,1,2057-PH2-06-UA-ND,Adam Tech,PH2-06-UA,PinHeader_2x03_P2.54mm_Vertical,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",~,Conn_02x03_Odd_Even,,3,J2,
12, 3, J3, J3,SERIAL,1,2057-PH1-02-UA-ND,Adam Tech,PH1-02-UA,PinHeader_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",~,Conn_01x02,,3,J3,
13, 3, J1, J1,SYS_PWR,1,732-10955-ND,Würth Elektronik,691137710002,TerminalBlock_bornier-2_P5.08mm,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",https://www.we-online.de/katalog/datasheet/691137710002.pdf,Screw_Terminal_01x02,710-691137710002,3,J1,
14, 3, JP2, JP2,ISP_PWR,1,2057-PH1-03-UA-ND,Adam Tech,PH1-03-UA,PinHeader_1x03_P2.54mm_Vertical,"Dual jumper, normally closed",~,Jumper_NC_Dual,,3,JP2,
15, 3, JP1, JP1,SYS_CFG,1,2057-PH1-02-UA-ND,Adam Tech,PH1-02-UA,PinHeader_1x02_P2.54mm_Vertical,"Jumper, 2-pole, open",~,Jumper_2_Open,,3,JP1,
16, 3, L1, L1,33uH,1,308-2103-ND,Sumida America Components Inc.,RCH895NP-330K,L_Radial_D7.8mm_P5.00mm_Fastron_07HCP,Inductor,http://products.sumida.com/products/pdf/RCH-895.pdf,L,851-RCH895NP-330K,3,L1,
17, 3, LED1, LED1,Green,1,732-5007-ND,Würth Elektronik,151031VS04000,LED_D3.0mm,Light emitting diode,https://www.we-online.de/katalog/datasheet/151031VS04000.pdf,LED,710-151031VS04000,3,LED1,
18, 3, LED3, LED3,Red,1,732-5005-ND,Würth Elektronik,151031SS04000,LED_D3.0mm,Light emitting diode,https://katalog.we-online.de/led/datasheet/151031SS04000.pdf,LED,710-151031SS04000,3,LED3,
19, 6, LED2 LED4, LED2 LED4,Yellow,2,732-5010-ND,Würth Elektronik,151031YS06000,LED_D3.0mm,Light emitting diode,https://www.we-online.de/katalog/datasheet/151031YS06000.pdf,LED,710-151031YS06000,6,LED2 LED4,
20, 3, MK1, MK1,CMA-4544PF-W,1,102-1721-ND,CUI Devices,CMA-4544PF-W,MIC_CMA-4544PF-W,,https://www.cuidevices.com/product/resource/cma-4544pf-w.pdf,CMA-4544PF-W,490-CMA-4544PF-W,3,MK1,
21, 3, Q1, Q1,Q_NPN_EBC,1,KSP2222ABUFS-ND,ON Semiconductor,KSP2222ABU,TO-92,"NPN transistor, emitter/base/collector",https://www.onsemi.com/pub/Collateral/KSP2222A-D.PDF,Q_NPN_EBC,512-KSP2222ABU,3,Q1,
22, 3, Q2, Q2,Q_PNP_CBE,1,PN2907-ND,ON Semiconductor,PN2907BU,TO-92,"PNP transistor, collector/base/emitter",https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/MMBT2907A_PN2907A_PZT2907A.pdf,Q_PNP_CBE,512-PN2907BU,3,Q2,
23, 12, R21 R22 R23 R24, R21 R22 R23 R24,330,4,S330CACT-ND,Stackpole Electronics Inc,RNMF14FTC330R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,,12,R21 R22 R23 R24,
24, 3, R17, R17,1K,1,RNF14FTD1K00CT-ND,Stackpole Electronics Inc,RNF14FTD1K00,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,,3,R17,
25, 6, R29 R30, R29 R30,2K,2,RNF14FTD2K00CT-ND,Stackpole Electronics Inc,RNF14FTD2K00,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,,6,R29 R30,
26, 78, R1 R2 R3 R6 R7 R8 R9 R10 R11 R12 R13 R14 R16 R18 R19 R20 R25 R26 R27 R28 R31 R32 R35 R36 R37 R39, R1 R2 R3 R6 R7 R8 R9 R10 R11 R12 R13 R14 R16 R18 R19 R20 R25 R26 R27 R28 R31 R32 R35 R36 R37 R39,10K,26,RNF14FTD10K0CT-ND,Stackpole Electronics Inc,RNF14FTD10K0,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,,78,R1 R2 R3 R6 R7 R8 R9 R10 R11 R12 R13 R14 R16 R18 R19 R20 R25 R26 R27 R28 R31 R32 R35 R36 R37 R39,
27, 6, R15 R38, R15 R38,100K,2,RNF14FTD100KCT-ND,Stackpole Electronics Inc,RNF14FTD100K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,,6,R15 R38,
28, 6, R33 R34, R33 R34,1M,2,RNF14FTD1M00CT-ND,Stackpole Electronics Inc,RNF14FTD1M00,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,,6,R33 R34,
29, 3, R4, R4,316K 1%,1,RNF14FTD316KCT-ND,Stackpole Electronics Inc,RNF14FTD316K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,,3,R4,
30, 3, R5, R5,412K 1%,1,RNF14FTD412KCT-ND,Stackpole Electronics Inc,RNF14FTD412K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,,3,R5,
31, 24, SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8, SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8,BTN,8,SW400-ND,Omron Electronics Inc-EMC Div,B3F-1000,SW_B3F-10xx,"Push button switch, generic, two pins",https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf,SW_Push_2-4,653-B3F-1000,24,SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8,
32, 3, SW9, SW9,Reset,1,SW950-ND,Omron Electronics Inc-EMC Div,B3F-1006,SW_B3F-10xx,"Push button switch, generic, two pins",https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf,SW_Push_1-3,653-B3F-1006,3,SW9,
33, 3, U7, U7,25LC1024-I/P,1,25LC1024-I/P-ND,Microchip Technology,25LC1024-I/P,DIP-8_W7.62mm,"SPI Serial EEPROM, DIP-8/SOIC-8/TSSOP-8",https://ww1.microchip.com/downloads/en/DeviceDoc/22064D.pdf,25LCxxx,579-25LC1024-I/P,3,U7,
34, 3, U5, U5,ATmega328P-PU,1,ATMEGA328P-PU-ND,Microchip Technology,ATMEGA328P-PU,DIP-28_W7.62mm,,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf,ATmega328P-PU-UserLibrary,556-ATMEGA328P-PU,3,U5,
35, 3, U1, U1,CD74HC151E,1,296-25973-5-ND,Texas Instruments,CD74HC151E,DIP-16_W7.62mm,,https://www.ti.com/lit/ds/symlink/cd74hc151.pdf,CD74HC151E-EZLayout,595-CD74HC151E,3,U1,
36, 3, U4, U4,LT1303CN8-5#PBF,1,LT1303CN8-5#PBF-ND,Analog Devices Inc.,LT1303CN8-5#PBF,PDIP-8_N,,https://www.analog.com/media/en/technical-documentation/data-sheets/lt1303.pdf,LT1303CN8-5#PBF-UserLibrary,584-LT1303CN8-5#PBF,3,U4,
37, 3, U8, U8,MAX4466EXK,1,MAX4466EXK+CT-ND,Maxim Integrated,MAX4466EXK+T,SOT65P210X110-5N,,https://datasheets.maximintegrated.com/en/ds/MAX4465-MAX4469.pdf,MAX4466EXK,700-MAX4466EXKT,3,U8,
38, 3, U6, U6,MCP3201,1,MCP3201-CI/P-ND,Microchip Technology,MCP3201-CI/P,DIP-8_W7.62mm,,https://ww1.microchip.com/downloads/en/DeviceDoc/21290F.pdf,MCP3201_TriStateMISO-UserLibrary,579-MCP3201-CI/P,3,U6,
39, 3, U3, U3,RN4871-I/RM140,1,150-RN4871-I/RM140-ND,Microchip Technology,RN4871-I/RM140,Microchip_RN4871,Bluetooth Low Energy 4.2 Module,https://ww1.microchip.com/downloads/en/DeviceDoc/RN4870-71-Data-Sheet-DS50002489E.pdf,RN4871,579-RN4871-I/RM140,3,U3,https://ww1.microchip.com/downloads/en/DeviceDoc/RN4870-71-Bluetooth-Low-Energy-Module-User-Guide-DS50002466C.pdf
40, 3, U2, U2,TSR_1-2433,1,1951-2742-ND,Traco Power,TSR 1-2433,Converter_DCDC_TRACO_TSR-1_THT,"1A step-down regulator module, fixed 3.3V output voltage, 5-36V input voltage, -40°C to +85°C temperature range, TO-220 compatible LM78xx replacement",https://www.tracopower.com/sites/default/files/products/datasheets/tsr1_datasheet.pdf,TSR_1-2433,495-TSR-1-2433,3,U2,
41, 3, Y1, Y1,16MHz,1,887-1244-ND,TXC CORPORATION,9B-16.000MEEJ-B,Crystal_HC49-U_Vertical,Two pin crystal,http://www.txccrystal.com/images/pdf/9b-accuracy.pdf,Crystal,717-9B-16.000MEEJ-B,3,Y1,





Component Groups:,41
Component Count:,104
Fitted Components:,104
Number of PCBs:,3
Total components:,312
Schematic Version:,1.2
Schematic Date:,2021-03-06
PCB Variant:,udefault
BoM Date:,3/8/2021 11:59:04 PM
Schematic Source:,ShotTimer.sch
KiCad Version:,Eeschema (5.1.9)-1
